# Developer:  🆁🅾🅱🅴🆁🆃🅾  🅲🅰🅻🅰🅱🆁🅴🆂🅴
# City:       🅿🅰🅻🅴🆁🅼🅾, 🆂🅸🅲🅸🅻🆈
# Country:    🅸🆃🅰🅻🆈

# Colorname           Hex 8     Hex 12       Hex 16          Family
"Alice Blue"          #f0f8ff   #f0ef8ffff   #f0f0f8f8ffff   cyanblue
"Antique White"       #faebd7   #fafebed7d   #fafaebebd7d7   orange
Aqua                  #00ffff   #000ffffff   #0000ffffffff   cyan
Aquamarine            #7fffd4   #7f7fffd4c   #7f7fffffd4d4   greencyan
Azure                 #f0ffff   #f0effffff   #f0f0ffffffff   cyan
Beige                 #f5f5dc   #f5ef5edcd   #f5f5f5f5dcdc   yellow
Bisque                #ffe4c4   #fffe4dc4c   #ffffe4e4c4c4   orange
Black                 #000000   #000000000   #000000000000   gray
"Blanched Almond"     #ffebcd   #fffebecdc   #ffffebebcdcd   orange
Blue                  #0000ff   #000000fff   #00000000ffff   blue
"Blue Violet"         #8a2be2   #8a82b3e2d   #8a8a2b2be2e2   bluepurple
Brown                 #a52a2a   #a5a2a22a2   #a5a52a2a2a2a   red
Burlywood             #deb887   #dedb8b878   #dedeb8b88787   orange
"Cadet Blue"          #5f9ea0   #5f69e9a09   #5f5f9e9ea0a0   cyan
Chartreuse            #7fff00   #7f7fff000   #7f7fffff0000   yellowgreen
Chocolate             #d2691e   #d2c6961e2   #d2d269691e1e   orange
Coral                 #ff7f50   #fff7f7505   #ffff7f7f5050   orange
Cornflower            #6495ed   #646959ede   #64649595eded   cyanblue
Cornsilk              #fff8dc   #ffff8fdcd   #fffff8f8dcdc   yellow
Crimson               #dc143c   #dcd1413c4   #dcdc14143c3c   red
Cyan                  #00ffff   #000ffffff   #0000ffffffff   cyan
"Dark Blue"           #00008b   #0000008b8   #000000008b8b   blue
"Dark Cyan"           #008b8b   #0008b88b8   #00008b8b8b8b   cyan
"Dark Goldenrod"      #b8860b   #b8b8680b1   #b8b886860b0b   orange
"Dark gray"           #a9a9a9   #a9aa9aa9a   #a9a9a9a9a9a9   gray
"Dark Green"          #006400   #000646000   #000064640000   green
"Dark Khaki"          #bdb76b   #bdbb7b6b6   #bdbdb7b76b6b   yellow
"Dark Magenta"        #8b008b   #8b80008b8   #8b8b00008b8b   purple
"Dark Olive Green"    #556b2f   #5556b62f3   #55556b6b2f2f   yellowgreen
"Dark Orange"         #ff8c00   #fff8c8000   #ffff8c8c0000   orange
"Dark Orchid"         #9932cc   #999323ccc   #99993232cccc   bluepurple
"Dark Red"            #8b0000   #8b8000000   #8b8b00000000   red
"Dark Salmon"         #e9967a   #e9e9697a7   #e9e996967a7a   orange
"Dark Sea Green"      #8fbc8f   #8f8bcb8f8   #8f8fbcbc8f8f   green
"Dark Slate Blue"     #483d8b   #4843d48b8   #48483d3d8b8b   blue
"Dark Slate gray"     #2f4f4f   #2f34f54f5   #2f2f4f4f4f4f   cyan
"Dark Turquoise"      #00ced1   #000cecd1c   #0000ceced1d1   cyan
"Dark Violet"         #9400d3   #949000d3c   #94940000d3d3   bluepurple
"Deep Pink"           #ff1493   #fff141939   #ffff14149393   purplered
"Deep Sky Blue"       #00bfff   #000bfbfff   #0000bfbfffff   cyanblue
"Dim gray"            #696969   #696696696   #696969696969   gray
"Dodger Blue"         #1e90ff   #1e2908fff   #1e1e9090ffff   cyanblue
Firebrick             #b22222   #b2a222222   #b2b222222222   red
"Floral White"        #fffaf0   #ffffaff0e   #fffffafaf0f0   orange
"Forest Green"        #228b22   #2228b8222   #22228b8b2222   green
Fuchsia               #ff00ff   #fff000fff   #ffff0000ffff   purple
Gainsboro             #dcdcdc   #dcddcddcd   #dcdcdcdcdcdc   gray
"Ghost White"         #f8f8ff   #f8ff8ffff   #f8f8f8f8ffff   blue
Gold                  #ffd700   #fffd7d000   #ffffd7d70000   yellow
Goldenrod             #daa520   #dada5a202   #dadaa5a52020   orange
gray                  #bebebe   #bebbebbeb   #bebebebebebe   gray
gray1                 #030303   #030030030   #030303030303   gray
gray2                 #050505   #050050050   #050505050505   gray
gray3                 #080808   #080080080   #080808080808   gray
gray4                 #0a0a0a   #0a10a10a1   #0a0a0a0a0a0a   gray
gray5                 #0d0d0d   #0d10d10d1   #0d0d0d0d0d0d   gray
