# Copyright: 2025 Roberto Calabrese a.k.a. Kicka
#
# This file is part of "Mustang", a GUI toolkit for Tcl/Tk 9.0 and later
# (https://github.com/robertocalabrese/Mustang).
#
# The author hereby grant permission to use, copy, modify, distribute,
# and license this software and its documentation for any purpose, provided
# that existing copyright notices are retained in all copies and that this
# notice is included verbatim in any distributions. No written agreement,
# license, or royalty fee is required for any of the authorized uses.
# Modifications to this software may be copyrighted by their authors
# and need not follow the licensing terms described here, provided that
# the new terms are clearly indicated on the first page of each file where
# they apply.
#
# IN NO EVENT SHALL THE AUTHOR OR DISTRIBUTORS BE LIABLE TO ANY PARTY
# FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES
# ARISING OUT OF THE USE OF THIS SOFTWARE, ITS DOCUMENTATION, OR ANY
# DERIVATIVES THEREOF, EVEN IF THE AUTHOR HAVE BEEN ADVISED OF THE
# POSSIBILITY OF SUCH DAMAGE.
#
# THE AUTHOR AND DISTRIBUTORS SPECIFICALLY DISCLAIM ANY WARRANTIES,
# INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY,
# FITNESS FOR A PARTICULAR PURPOSE, AND NON-INFRINGEMENT.  THIS SOFTWARE
# IS PROVIDED ON AN "AS IS" BASIS, AND THE AUTHOR AND DISTRIBUTORS HAVE
# NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR
# MODIFICATIONS.
#
# GOVERNMENT USE: If you are acquiring this software on behalf of the
# U.S. government, the Government shall have only "Restricted Rights"
# in the software and related documentation as defined in the Federal
# Acquisition Regulations (FARs) in Clause 52.227.19 (c) (2).  If you
# are acquiring the software on behalf of the Department of Defense, the
# software shall be classified as "Commercial Computer Software" and the
# Government shall have only "Restricted Rights" as defined in Clause
# 252.227-7013 (c) (1) of DFARs.  Notwithstanding the foregoing, the
# author grant the U.S. Government and others acting in its behalf
# permission to use and distribute the software in accordance with the
# terms specified in this license.

#############################
##                         ##
##     MUSTANG PALETTE     ##
##                         ##
#############################

# Colors selection from 'https://en.wikipedia.org/wiki/Lists_of_colors'
#                       'https://en.wikipedia.org/wiki/Pantone'

# Colorname                     Hexcolor    Family
"Alice Blue"                    #f0f8ff     Cyan-Blue
Almond                          #eed9c4     Orange
"Antique Brass"                 #c88a65     Orange
"Antique Gray"                  #9f9f9f     Gray
"Antique White"                 #faebd7     Orange
"Apple Orchard"                 #bf3f3f     Red
Apricot                         #fdd5b1     Orange
Aqua                            #00ffff     Cyan
"Aqua Pearl"                    #5fbed7     Cyan
"Aqua Sky"                      #7bc4c4     Cyan
Aquamarine                      #7fffd4     Green-Cyan
Asparagus                       #7ba05b     Yellow-Green
"Atomic Tangerine"              #ff9966     Orange
"Aztec Gold"                    #c39953     Orange
Azure                           #f0ffff     Cyan
"Banana Mania"                  #fbe7b2     Orange
Beaver                          #926f5b     Orange
Beige                           #f5f5dc     Yellow
Bisque                          #ffe4c4     Orange
Bittersweet                     #fe6f5e     Red
"Bittersweet Shimmer"           #bf4f51     Red
Black                           #000000     Gray
"Black Coral Pearl"             #54626f     Cyan-Blue
"Black Pearl"                   #3a3a3a     Gray
"Blanched Almond"               #ffebcd     Orange
"Blast Off Bronze"              #a57164     Red
Blue                            #0000ff     Blue
"Blue Bell"                     #9999cc     Blue
"Blue Gray"                     #c8c8cd     Blue
"Blue Iris"                     #5a5b9f     Blue
"Blue Turquoise"                #53b0ae     Cyan
"Blue Violet"                   #8a2be2     Blue-Purple
Blush                           #db5079     Purple-Red
"Brick Red"                     #c62d42     Red
"Brilliant Rose"                #e667ce     Purple
Brown                           #a52a2a     Red
"Bubble Gum"                    #df9aca     Purple-Red
Burlywood                       #deb887     Orange
"Burnished Brown"               #a17a74     Red
"Burnt Orange"                  #ff7034     Orange
"Burnt Sienna"                  #e97451     Red
"Burnt Umber"                   #805533     Orange
"Butternut Squash"              #e74f00     Orange
"Cadet Blue"                    #5f9ea0     Cyan
Canary                          #ffff99     Yellow
"Caribbean Green"               #00cc99     Green-Cyan
"Caribbean Green Pearl"         #6ada8e     Green-Cyan
"Caribbean Sea"                 #67cd95     Green-Cyan
Carmine                         #e62e6b     Purple-Red
"Carnation Pink"                #ffa6c9     Purple-Red
"Celestial Blue"                #7070cc     Blue
Cerise                          #da3287     Purple-Red
Cerulean                        #9bb7d4     Cyan-Blue
"Cerulean Blue"                 #339acc     Cyan-Blue
"Cerulean Frost"                #6d9bc3     Cyan-Blue
"Charcoal Gray"                 #736a62     Orange
Chartreuse                      #7fff00     Yellow-Green
Chestnut                        #b94e48     Red
"Chili Pepper"                  #9b1b30     Red
Chocolate                       #d2691e     Orange
"Cinnamon Satin"                #cd607e     Purple-Red
Citrine                         #933709     Orange
"Classic Blue"                  #0f4c81     Cyan-Blue
"Cloudy Sky"                    #548cd0     Cyan-Blue
"Cobalt Blue"                   #8c90c8     Blue
"Cobalt Cool"                   #028aae     Cyan
"Cool Mint"                     #ddebec     Cyan
Copper                          #da8a67     Orange
"Copper Penny"                  #ad6f69     Red
Coral                           #ff7f50     Orange
Cornflower                      #93ccea     Cyan-Blue
"Cornflower Blue"               #6495ed     Cyan-Blue
Cornsilk                        #fff8dc     Yellow
"Cosmic Cobalt"                 #2e2d88     Blue
"Cotton Candy"                  #ffb7d5     Purple-Red
Crayellow                       #f1d651     Yellow
Crimson                         #dc143c     Red
"Cyber Grape"                   #58427c     Blue-Purple
Dandelion                       #fed85d     Yellow
"Dark Goldenrod"                #b8860b     Orange
"Dark Gray"                     #a9a9a9     Gray
"Dark Green"                    #006400     Green
"Dark Khaki"                    #bdb76b     Yellow
"Dark Magenta"                  #8b008b     Purple
"Dark Olive Green"              #556b2f     Yellow-Green
"Dark Orange"                   #ff8c00     Orange
"Dark Orchid"                   #9932cc     Blue-Purple
"Dark Red"                      #8b0000     Red
"Dark Salmon"                   #e9967a     Orange
"Dark Sea Green"                #8fbc8f     Green
"Dark Slate Blue"               #483d8b     Blue
"Dark Slate Gray"               #2f4f4f     Cyan
"Dark Turquoise"                #00ced1     Cyan
"Dark Venetian Red"             #b33b24     Red
"Dark Violet"                   #9400d3     Blue-Purple
"Deep Almond"                   #986a5a     Orange
"Deep Golden"                   #8d5b28     Orange
"Deep Pink"                     #ff1493     Purple-Red
"Deep Rose"                     #b86f69     Red
"Deep Sky Blue"                 #00bfff     Cyan-Blue
"Deep Space Sparkle"            #4a646c     Cyan
"Deepest Almond"                #513529     Orange
Denim                           #1560bd     Cyan-Blue
"Desert Sand"                   #edc9af     Orange
"Dodger Blue"                   #1e90ff     Cyan-Blue
"Electric Lime"                 #ccff00     Yellow
Emerald                         #009473     Cyan
"English Vermilion"             #cc474b     Red
"Extra Deep Golden"             #5f452e     Orange
"Extra Deep Rose"               #6c4d4b     Red
"Extra Light Almond"            #eee6cf     Orange
Fern                            #63b76c     Green
Firebrick                       #b22222     Red
"Floral White"                  #fffaf0     Orange
"Forest Green"                  #228b22     Green
Fuchsia                         #c154c1     Purple
"Fuchsia Rose"                  #c74375     Purple-Red
"Fuzzy Wuzzy"                   #87421f     Orange
Gainsboro                       #dcdcdc     Gray
"Ghost White"                   #f8f8ff     Blue
"Glossy Grape"                  #ab92b3     Purple
Gold                            #ffd700     Yellow
"Gold Medal"                    #c5bc42     Yellow
Goldenrod                       #daa520     Orange
"Granite Gray"                  #676767     Gray
"Granny Smith Apple"            #9de093     Green
"Grape Violet"                  #8359a3     Blue-Purple
Gray                            #808080     Gray
"Gray 1"                        #030303     Gray
"Gray 2"                        #050505     Gray
"Gray 3"                        #080808     Gray
"Gray 4"                        #0a0a0a     Gray
"Gray 5"                        #0d0d0d     Gray
"Gray 6"                        #0f0f0f     Gray
"Gray 7"                        #121212     Gray
"Gray 8"                        #141414     Gray
"Gray 9"                        #171717     Gray
"Gray 10"                       #1a1a1a     Gray
"Gray 11"                       #1c1c1c     Gray
"Gray 12"                       #1f1f1f     Gray
"Gray 13"                       #212121     Gray
"Gray 14"                       #242424     Gray
"Gray 15"                       #262626     Gray
"Gray 16"                       #292929     Gray
"Gray 17"                       #2b2b2b     Gray
"Gray 18"                       #2e2e2e     Gray
"Gray 19"                       #303030     Gray
"Gray 20"                       #333333     Gray
"Gray 21"                       #363636     Gray
"Gray 22"                       #383838     Gray
"Gray 23"                       #3b3b3b     Gray
"Gray 24"                       #3d3d3d     Gray
"Gray 25"                       #404040     Gray
"Gray 26"                       #424242     Gray
"Gray 27"                       #454545     Gray
"Gray 28"                       #474747     Gray
"Gray 29"                       #4a4a4a     Gray
"Gray 30"                       #4d4d4d     Gray
"Gray 31"                       #4f4f4f     Gray
"Gray 32"                       #525252     Gray
"Gray 33"                       #545454     Gray
"Gray 34"                       #575757     Gray
"Gray 35"                       #595959     Gray
"Gray 36"                       #5c5c5c     Gray
"Gray 37"                       #5e5e5e     Gray
"Gray 38"                       #616161     Gray
"Gray 39"                       #636363     Gray
"Gray 40"                       #666666     Gray
"Gray 41"                       #696969     Gray
"Gray 42"                       #6b6b6b     Gray
"Gray 43"                       #6e6e6e     Gray
"Gray 44"                       #707070     Gray
"Gray 45"                       #737373     Gray
"Gray 46"                       #757575     Gray
"Gray 47"                       #787878     Gray
"Gray 48"                       #7a7a7a     Gray
"Gray 49"                       #7d7d7d     Gray
"Gray 50"                       #7f7f7f     Gray
"Gray 51"                       #828282     Gray
"Gray 52"                       #858585     Gray
"Gray 53"                       #878787     Gray
"Gray 54"                       #8a8a8a     Gray
"Gray 55"                       #8c8c8c     Gray
"Gray 56"                       #8f8f8f     Gray
"Gray 57"                       #919191     Gray
"Gray 58"                       #949494     Gray
"Gray 59"                       #969696     Gray
"Gray 60"                       #999999     Gray
"Gray 61"                       #9c9c9c     Gray
"Gray 62"                       #9e9e9e     Gray
"Gray 63"                       #a1a1a1     Gray
"Gray 64"                       #a3a3a3     Gray
"Gray 65"                       #a6a6a6     Gray
"Gray 66"                       #a8a8a8     Gray
"Gray 67"                       #ababab     Gray
"Gray 68"                       #adadad     Gray
"Gray 69"                       #b0b0b0     Gray
"Gray 70"                       #b3b3b3     Gray
"Gray 71"                       #b5b5b5     Gray
"Gray 72"                       #b8b8b8     Gray
"Gray 73"                       #bababa     Gray
"Gray 74"                       #bdbdbd     Gray
"Gray 75"                       #bfbfbf     Gray
"Gray 76"                       #c2c2c2     Gray
"Gray 77"                       #c4c4c4     Gray
"Gray 78"                       #c7c7c7     Gray
"Gray 79"                       #c9c9c9     Gray
"Gray 80"                       #cccccc     Gray
"Gray 81"                       #cfcfcf     Gray
"Gray 82"                       #d1d1d1     Gray
"Gray 83"                       #d4d4d4     Gray
"Gray 84"                       #d6d6d6     Gray
"Gray 85"                       #d9d9d9     Gray
"Gray 86"                       #dbdbdb     Gray
"Gray 87"                       #dedede     Gray
"Gray 88"                       #e0e0e0     Gray
"Gray 89"                       #e3e3e3     Gray
"Gray 90"                       #e5e5e5     Gray
"Gray 91"                       #e8e8e8     Gray
"Gray 92"                       #ebebeb     Gray
"Gray 93"                       #ededed     Gray
"Gray 94"                       #f0f0f0     Gray
"Gray 95"                       #f2f2f2     Gray
"Gray 96"                       #f5f5f5     Gray
"Gray 97"                       #f7f7f7     Gray
"Gray 98"                       #fafafa     Gray
"Gray 99"                       #fcfcfc     Gray
Green                           #008000     Green
"Green Blue"                    #2887c8     Cyan-Blue
"Green Sheen"                   #6eaea1     Cyan
"Green Yellow"                  #adff2f     Yellow-Green
Greenery                        #88b04b     Yellow-Green
Honeydew                        #f0fff0     Green
Honeysuckle                     #d94f70     Red
"Hot Cocoa"                     #8f482f     Orange
"Hot Magenta"                   #ff00cc     Purple
"Hot Pink"                      #ff69b4     Purple-Red
"Illuminating"                  #f5df4d     Yellow
"Illuminating Emerald"          #319177     Green-Cyan
Inchworm                        #dee327     Yellow
